iter	Passed	Remaining
403	14386	21223
404	14423	21189
405	14466	21165
406	14566	21223
407	14675	21294
408	14810	21400
409	14934	21491
410	15000	21497
411	15040	21465
412	15078	21431
413	15138	21428
414	15190	21412
415	15252	21412
416	15317	21414
417	15349	21371
418	15408	21365
419	15470	21363
420	15560	21400
421	15632	21410
422	15680	21388
423	15785	21444
424	15838	21428
425	15885	21404
426	15963	21421
427	16021	21411
428	16043	21353
429	16067	21298
430	16133	21298
431	16183	21277
432	16235	21260
433	16285	21238
434	16318	21195
435	16369	21174
436	16420	21155
437	16451	21109
438	16484	21065
439	16510	21013
440	16544	20970
441	16589	20943
442	16628	20907
443	16686	20895
444	16734	20870
445	16754	20811
446	16780	20760
447	16815	20718
448	16870	20702
449	16960	20730
450	17014	20711
451	17141	20782
452	17213	20785
453	17255	20752
454	17307	20731
455	17338	20684
456	17369	20638
457	17410	20603
458	17446	20562
459	17471	20509
460	17500	20462
461	17522	20405
462	17559	20366
463	17604	20335
464	17645	20301
465	17721	20307
466	17752	20261
467	17791	20224
468	17828	20185
469	17853	20132
470	17892	20095
471	17937	20065
472	17990	20044
473	18039	20018
474	18092	19996
475	18127	19955
476	18155	19906
477	18182	19856
478	18223	19821
479	18257	19779
480	18287	19732
481	18334	19703
482	18368	19661
483	18407	19624
484	18434	19575
485	18464	19528
486	18489	19476
487	18515	19425
488	18541	19375
489	18565	19323
490	18598	19280
491	18639	19245
492	18691	19222
493	18739	19194
494	18776	19155
495	18824	19128
496	18910	19138
497	18974	19126
498	18997	19073
499	19022	19022
500	19099	19023
501	19188	19035
502	19233	19004
503	19289	18983
504	19319	18937
505	19421	18960
506	19524	18985
507	19574	18958
508	19609	18916
509	19641	18871
510	19683	18835
511	19717	18792
512	19772	18770
513	19841	18760
514	19878	18720
515	19903	18669
516	19949	18637
517	19980	18591
518	20023	18557
519	20056	18513
520	20102	18481
521	20161	18462
522	20194	18417
523	20214	18362
524	20237	18310
525	20268	18264
526	20291	18212
527	20314	18159
528	20334	18105
529	20358	18053
530	20381	18001
531	20408	17953
532	20508	17968
533	20599	17976
534	20658	17955
535	20718	17935
536	20777	17913
537	20818	17877
538	20866	17846
539	20930	17829
540	20977	17798
541	21031	17771
542	21064	17728
543	21087	17676
544	21114	17627
545	21141	17579
546	21164	17527
547	21186	17475
548	21209	17423
549	21237	17376
550	21264	17327
551	21301	17288
552	21324	17237
553	21351	17189
554	21402	17160
