iter	RMSE
218	40058.33494
219	40056.96181
220	40055.53024
221	40053.7841
222	40052.48871
223	40050.93082
224	40049.38685
225	40047.70751
226	40046.94258
227	40045.88972
228	40045.64359
229	40045.27007
230	40044.351
231	40043.55969
232	40042.58009
233	40042.04334
234	40041.05533
235	40039.58181
236	40039.03773
237	40038.20895
238	40037.56578
239	40037.00422
240	40036.83435
241	40036.59538
242	40035.76581
243	40035.59398
244	40035.40563
245	40034.51114
246	40033.59337
247	40033.44759
248	40032.20508
249	40031.39739
250	40031.17988
251	40031.0222
252	40030.51454
253	40029.59208
254	40028.85809
255	40028.17391
256	40027.61298
257	40027.29365
258	40026.80981
259	40026.46409
260	40026.22681
261	40025.74005
262	40025.49804
263	40024.77313
264	40024.54343
265	40024.01041
266	40023.63082
267	40023.01149
268	40022.42224
269	40021.94474
270	40021.68945
271	40021.50761
272	40021.04037
273	40020.61262
274	40020.2719
275	40020.07398
276	40019.52723
277	40019.10183
278	40018.91922
279	40018.57479
280	40018.25826
281	40018.15358
282	40018.0035
283	40017.48337
284	40017.31962
285	40016.96855
286	40016.74063
287	40016.63998
288	40016.42617
289	40016.07842
290	40015.7994
291	40015.65784
292	40015.43075
293	40015.19665
294	40015.01894
295	40014.89831
296	40014.72361
297	40014.62753
298	40014.4197
299	40014.14371
300	40014.04448
301	40013.75787
302	40013.51886
303	40013.23574
304	40013.13184
305	40013.03351
306	40012.98383
307	40012.7578
308	40012.52317
309	40012.41036
310	40012.1851
311	40012.04905
312	40011.98101
313	40011.93031
314	40011.72665
315	40011.69805
316	40011.66132
317	40011.49556
318	40011.40977
319	40011.37287
320	40011.2262
321	40011.13859
322	40011.08364
323	40010.99569
324	40010.93741
325	40010.72117
326	40010.58532
327	40010.4781
328	40010.32393
329	40010.28158
330	40010.24194
331	40010.2047
332	40010.18085
333	40010.14298
334	40010.0667
335	40010.02013
336	40009.99283
337	40009.88404
338	40009.83272
339	40009.77446
340	40009.64932
341	40009.51668
342	40009.48527
343	40009.45132
344	40009.41704
345	40009.32292
346	40009.26535
347	40009.24506
348	40009.17035
349	40009.14732
350	40009.0522
351	40008.99363
352	40008.89064
353	40008.84652
354	40008.76931
355	40008.74991
356	40008.69827
357	40008.68096
358	40008.617
359	40008.56916
360	40008.56248
361	40008.52966
362	40008.48849
363	40008.44508
364	40008.37972
365	40008.35431
366	40008.3181
367	40008.29458
368	40008.24553
369	40008.20073
370	40008.13225
371	40008.06431
372	40008.04885
373	40008.00638
374	40007.96778
375	40007.91543
376	40007.86026
377	40007.84113
378	40007.79204
379	40007.75083
380	40007.73513
381	40007.69508
382	40007.66117
383	40007.63297
384	40007.62036
385	40007.60515
386	40007.56572
387	40007.53154
388	40007.50587
389	40007.48894
390	40007.46032
391	40007.44345
392	40007.41645
393	40007.39797
394	40007.36637
395	40007.33262
396	40007.30511
397	40007.28111
398	40007.27419
399	40007.24971
400	40007.23791
401	40007.23169
402	40007.19755
403	40007.17492
404	40007.17093
405	40007.1624
406	40007.15171
407	40007.12818
408	40007.11027
409	40007.09547
410	40007.08973
411	40007.07258
412	40007.0581
413	40007.04163
414	40007.03752
415	40007.03202
416	40007.02596
417	40007.00879
418	40006.99834
419	40006.99414
420	40006.99141
421	40006.97755
422	40006.96614
423	40006.96064
424	40006.95389
425	40006.93246
426	40006.92462
427	40006.91771
428	40006.91311
429	40006.90152
430	40006.89825
431	40006.88891
432	40006.87399
433	40006.85888
434	40006.84484
435	40006.84027
436	40006.83911
437	40006.83734
438	40006.83034
439	40006.82097
440	40006.80381
441	40006.79839
442	40006.78242
443	40006.78056
444	40006.77485
445	40006.76402
446	40006.75406
447	40006.74287
448	40006.73174
449	40006.72559
450	40006.72261
451	40006.72003
452	40006.71848
453	40006.71256
454	40006.70587
455	40006.70405
456	40006.69905
457	40006.69566
458	40006.69351
459	40006.6909
460	40006.68326
461	40006.67902
462	40006.67203
463	40006.66882
464	40006.6639
465	40006.66113
466	40006.65522
467	40006.6523
468	40006.64786
469	40006.64031
470	40006.6386
471	40006.63689
472	40006.63461
473	40006.62722
474	40006.62531
475	40006.62183
476	40006.6181
477	40006.61207
478	40006.60263
479	40006.59947
480	40006.59685
481	40006.59519
482	40006.58894
483	40006.58713
484	40006.58557
485	40006.58067
486	40006.57916
487	40006.57506
488	40006.57314
489	40006.56949
490	40006.56533
491	40006.55962
492	40006.55716
493	40006.55324
494	40006.55166
495	40006.54979
496	40006.54841
497	40006.54674
498	40006.54197
499	40006.54105
500	40006.53953
501	40006.53514
502	40006.53405
503	40006.53256
504	40006.53193
505	40006.52883
506	40006.52725
507	40006.52291
508	40006.52024
509	40006.51734
510	40006.51565
511	40006.51368
512	40006.51149
513	40006.511
514	40006.50929
515	40006.50711
516	40006.50652
517	40006.50592
518	40006.50258
519	40006.5013
520	40006.4984
521	40006.49798
522	40006.49602
523	40006.49579
524	40006.49269
525	40006.49221
526	40006.49057
527	40006.48938
528	40006.48565
529	40006.48471
530	40006.48263
531	40006.48202
532	40006.48134
533	40006.47885
534	40006.47717
535	40006.47678
536	40006.47474
537	40006.47193
538	40006.47056
539	40006.46965
540	40006.46831
541	40006.46682
542	40006.46405
543	40006.46354
544	40006.46188
545	40006.4611
546	40006.4583
547	40006.45803
548	40006.45763
549	40006.45477
550	40006.45418
551	40006.45276
552	40006.45121
553	40006.44864
554	40006.448
555	40006.44706
556	40006.44685
557	40006.44609
558	40006.44513
559	40006.44401
560	40006.44338
561	40006.44142
562	40006.44105
563	40006.43931
564	40006.43842
565	40006.43749
566	40006.437
567	40006.43669
568	40006.43564
569	40006.43382
570	40006.43337
571	40006.43227
572	40006.43205
573	40006.43166
574	40006.43067
575	40006.42921
576	40006.42897
577	40006.42802
578	40006.42723
579	40006.42621
580	40006.42594
581	40006.42448
582	40006.42392
583	40006.42323
584	40006.42286
585	40006.42244
586	40006.42138
587	40006.42047
588	40006.41861
589	40006.4174
590	40006.41715
591	40006.41705
592	40006.41495
593	40006.41356
594	40006.41284
595	40006.41207
596	40006.41166
597	40006.41088
598	40006.41048
599	40006.4097
600	40006.4096
601	40006.4088
602	40006.40808
603	40006.40772
604	40006.40697
605	40006.40684
606	40006.40641
607	40006.40557
608	40006.40529
609	40006.405
610	40006.40444
611	40006.40347
612	40006.40302
613	40006.40258
614	40006.40237
615	40006.40188
616	40006.40092
617	40006.40048
618	40006.39996
619	40006.39962
620	40006.39941
621	40006.39898
622	40006.39816
623	40006.39791
624	40006.39715
625	40006.39677
626	40006.39669
627	40006.39645
628	40006.39619
629	40006.39556
630	40006.39467
631	40006.39454
632	40006.39423
633	40006.39393
634	40006.39355
635	40006.39321
636	40006.39291
637	40006.39262
638	40006.39227
639	40006.39162
640	40006.39099
641	40006.39061
642	40006.39053
643	40006.39047
644	40006.3898
645	40006.38937
646	40006.38924
647	40006.38896
648	40006.38814
649	40006.38775
650	40006.38736
651	40006.38716
652	40006.38702
653	40006.38677
654	40006.38665
655	40006.38647
656	40006.38617
657	40006.38565
658	40006.38538
659	40006.38522
660	40006.38502
661	40006.38484
662	40006.38464
663	40006.38405
664	40006.38362
665	40006.38348
666	40006.38307
667	40006.38291
668	40006.3827
669	40006.38254
670	40006.38249
671	40006.38236
672	40006.38217
673	40006.3818
674	40006.38166
675	40006.38111
676	40006.381
677	40006.38074
678	40006.38038
679	40006.38028
680	40006.37992
681	40006.37957
682	40006.37946
683	40006.37925
684	40006.37916
685	40006.379
686	40006.37897
687	40006.37879
688	40006.37874
689	40006.37834
690	40006.37816
691	40006.3779
692	40006.37743
693	40006.37735
694	40006.37732
695	40006.37715
696	40006.37682
697	40006.37663
698	40006.37635
699	40006.37631
700	40006.37618
701	40006.37611
702	40006.37595
703	40006.37569
704	40006.3755
705	40006.37547
706	40006.37536
707	40006.37527
708	40006.37513
709	40006.37506
710	40006.37482
711	40006.3748
712	40006.37472
713	40006.3747
714	40006.37456
715	40006.37445
716	40006.37439
717	40006.37434
718	40006.37425
719	40006.37417
720	40006.37403
721	40006.37382
722	40006.3737
723	40006.37364
724	40006.37349
725	40006.3734
726	40006.37332
727	40006.37328
728	40006.37326
729	40006.37322
730	40006.37318
731	40006.37296
732	40006.37285
733	40006.37262
734	40006.37257
735	40006.37236
736	40006.37224
737	40006.37219
738	40006.3721
739	40006.3719
740	40006.37175
741	40006.3716
742	40006.37154
743	40006.37139
744	40006.37132
745	40006.3713
746	40006.37124
747	40006.37116
748	40006.37109
749	40006.37105
750	40006.37092
751	40006.37089
752	40006.37085
753	40006.37079
754	40006.37076
755	40006.37071
756	40006.37067
757	40006.37052
758	40006.37049
759	40006.37044
760	40006.37042
761	40006.37033
762	40006.37023
763	40006.37007
764	40006.37005
765	40006.37003
766	40006.36994
767	40006.36977
768	40006.36966
769	40006.36964
770	40006.36949
771	40006.36945
772	40006.3694
773	40006.36923
774	40006.36918
775	40006.36916
776	40006.36912
777	40006.36908
778	40006.36902
779	40006.36899
780	40006.3689
781	40006.36886
782	40006.36882
783	40006.36868
784	40006.36866
785	40006.36863
786	40006.36856
787	40006.36851
788	40006.36845
789	40006.36844
790	40006.36843
791	40006.36839
792	40006.36837
793	40006.36831
794	40006.36827
795	40006.36823
796	40006.3682
797	40006.36814
798	40006.36803
799	40006.36798
800	40006.36796
801	40006.36786
802	40006.36784
803	40006.36782
804	40006.36781
805	40006.36778
806	40006.36777
807	40006.36774
808	40006.36771
809	40006.36769
810	40006.36766
811	40006.36758
812	40006.36755
813	40006.36753
814	40006.36746
815	40006.36738
816	40006.36731
817	40006.36727
818	40006.36726
819	40006.36718
820	40006.36716
821	40006.36715
822	40006.36712
823	40006.36708
824	40006.36706
825	40006.36704
826	40006.36703
827	40006.36701
828	40006.36696
829	40006.36693
830	40006.36691
831	40006.36688
832	40006.36687
833	40006.36686
834	40006.36677
835	40006.36675
836	40006.36673
837	40006.36672
838	40006.3667
839	40006.36669
840	40006.36668
841	40006.36666
842	40006.3666
843	40006.36655
844	40006.36653
845	40006.36652
846	40006.36651
847	40006.3665
848	40006.36648
849	40006.36648
850	40006.36646
851	40006.36645
852	40006.36642
853	40006.36641
854	40006.36639
855	40006.36638
856	40006.36637
857	40006.36636
858	40006.36634
859	40006.36631
860	40006.36625
861	40006.36623
862	40006.36622
863	40006.3662
864	40006.36619
865	40006.36617
866	40006.36616
867	40006.36614
868	40006.36614
869	40006.3661
870	40006.36609
871	40006.36608
872	40006.36606
873	40006.36605
874	40006.36604
875	40006.36602
876	40006.36599
877	40006.36594
878	40006.36594
879	40006.36589
880	40006.36588
881	40006.36584
882	40006.36582
883	40006.36579
884	40006.36578
885	40006.36576
886	40006.36575
887	40006.36574
888	40006.36573
889	40006.36572
890	40006.36571
891	40006.36571
892	40006.3657
893	40006.36566
894	40006.36564
895	40006.36561
896	40006.36561
897	40006.36559
898	40006.36559
899	40006.36558
900	40006.36556
901	40006.36555
902	40006.36555
903	40006.36554
904	40006.36552
905	40006.36551
906	40006.36549
907	40006.36548
908	40006.36548
909	40006.36547
910	40006.36544
911	40006.36542
912	40006.36539
913	40006.36538
914	40006.36537
915	40006.36536
916	40006.36535
917	40006.36534
918	40006.36533
919	40006.36533
920	40006.36531
921	40006.36528
922	40006.36525
923	40006.36523
924	40006.36523
925	40006.36522
926	40006.36522
927	40006.3652
928	40006.3652
929	40006.36519
930	40006.36517
931	40006.36515
932	40006.36514
933	40006.36514
934	40006.36512
935	40006.36512
936	40006.3651
937	40006.3651
938	40006.36508
939	40006.36508
940	40006.36506
941	40006.36506
942	40006.36503
943	40006.36503
944	40006.36502
945	40006.36502
946	40006.365
947	40006.365
948	40006.36499
949	40006.36499
950	40006.36498
951	40006.36497
952	40006.36497
953	40006.36497
954	40006.36496
955	40006.36496
956	40006.36495
957	40006.36495
958	40006.36494
959	40006.36491
960	40006.36488
961	40006.36487
962	40006.36487
963	40006.36486
964	40006.36486
965	40006.36485
966	40006.36485
967	40006.36484
968	40006.36484
969	40006.36484
970	40006.36483
971	40006.36482
972	40006.36482
973	40006.3648
974	40006.36479
975	40006.36477
976	40006.36476
977	40006.36476
978	40006.36475
979	40006.36475
980	40006.36474
981	40006.36474
982	40006.36474
983	40006.36473
984	40006.36473
985	40006.3647
986	40006.36468
987	40006.36468
988	40006.36467
989	40006.36467
990	40006.36467
991	40006.36466
992	40006.36465
993	40006.36465
994	40006.36464
995	40006.36464
996	40006.36462
997	40006.36462
998	40006.36461
999	40006.36461
